,Division_1,Division_2,Division_3,Division_4,Division_5,Division_6
Macao,NO DATA,NO DATA,,NO DATA,NO DATA,NO DATA
Malaysia,,,NO DATA,NO DATA,NO DATA,NO DATA
Maldives,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Mali,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Malta,1355,1218,,NO DATA,NO DATA,NO DATA
Martinique,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Mauritania,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Mauritius,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Mexico,1749,1538,1461,NO DATA,NO DATA,NO DATA
Moldova,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Mongolia,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Montenegro,1455,1340,NO DATA,NO DATA,NO DATA,NO DATA
Morocco,1503,,NO DATA,NO DATA,NO DATA,NO DATA
Mozambique,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Myanmar,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Namibia,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Netherlands,1740,1432,1324,1278,,NO DATA
New Caledonia,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
New Zealand,1325,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Nicaragua,1355,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Nigeria,,,,NO DATA,NO DATA,NO DATA
North Macedonia,1476,,NO DATA,NO DATA,NO DATA,NO DATA
Northern Ireland,1429,1276,,NO DATA,NO DATA,NO DATA
Norway,1633,1408,1292,,NO DATA,NO DATA
Oman,1402,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Palestine,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Panama,1485,,NO DATA,NO DATA,NO DATA,NO DATA
Paraguay,1597,,NO DATA,NO DATA,NO DATA,NO DATA
Peru,1557,1444,NO DATA,NO DATA,NO DATA,NO DATA
Poland,1641,1468,1383,1290,NO DATA,NO DATA
Portugal,1796,1560,,,NO DATA,NO DATA
Puerto Rico,NO DATA,NO DATA,,NO DATA,NO DATA,NO DATA
Qatar,1554,,NO DATA,NO DATA,NO DATA,NO DATA
Republic of Ireland,1490,1300,NO DATA,NO DATA,NO DATA,NO DATA
Reunion,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Romania,1577,1454,,NO DATA,NO DATA,NO DATA
Russia,1803,1504,,NO DATA,NO DATA,NO DATA
San Marino,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Saudi Arabia,1717,1436,,NO DATA,NO DATA,NO DATA
Scotland,1614,1393,1281,1281,NO DATA,
Senegal,NO DATA,,NO DATA,NO DATA,NO DATA,NO DATA
Serbia,1567,1435,,NO DATA,NO DATA,NO DATA
Sierra Leone,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Singapore,1394,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Slovakia,1538,1405,,NO DATA,NO DATA,NO DATA
Slovenia,1514,1341,,NO DATA,NO DATA,NO DATA
South Africa,1460,,NO DATA,NO DATA,NO DATA,NO DATA
Spain,1908,1655,1521,1414,1286,NO DATA
St. Kitts and Nevis,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Sudan,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Suriname,,,NO DATA,NO DATA,NO DATA,NO DATA
Swaziland,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Sweden,1630,1447,1331,,NO DATA,NO DATA
Switzerland,1659,1465,1348,,NO DATA,NO DATA
Syria,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
São Tomé e Príncipe,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Tahiti,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Tajikistan,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Tanzania,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Thailand,1443,1314,NO DATA,NO DATA,NO DATA,NO DATA
Togo,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Trinidad and Tobago,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Tunisia,1471,,NO DATA,NO DATA,NO DATA,NO DATA
Turkey,1765,1559,1437,1372,NO DATA,NO DATA
Turkmenistan,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
Ukraine,1566,1361,,NO DATA,NO DATA,NO DATA
United Arab Emirates,1568,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
United States,1660,1453,1315,,NO DATA,NO DATA
Uruguay,1559,1476,,,NO DATA,NO DATA
Uzbekistan,1442,,NO DATA,NO DATA,NO DATA,NO DATA
Venezuela,1494,,NO DATA,NO DATA,NO DATA,NO DATA
Vietnam,1401,,NO DATA,NO DATA,NO DATA,NO DATA
Wales,1390,,NO DATA,NO DATA,NO DATA,NO DATA
